usernames,tweets,date_and_time,responders,tweet_replies,Responder_time_responder
dwikipsty,Kisah horor sewaktu KKN di Universitas Teknologi Yogyakarta. A - THREAD,9/1/19 7:38,dwikipsty,Kampus UTY tidak mengenal namanya KKN. - TAMAT -,9/1/19 7:39
sudutlancip,"4. Berkarya adalah kunci. Komentar doang siapa aja bisa bang. Mana karyamu?5. Desainer harus sombong dan mengasah skill jual diri. Desain bagus kalo ngga ada yg beli ya sama aja lurd.6. Namanya juga hidup, kalo udah berusaha maksimal. Terima hasilnya dengan lapang dada.",9/27/19 4:36,happydesigner_,"Jika bisa sombong, kenapa tidak nggih gus?",9/27/19 4:59
ghazali_____,"Ngerusak tatanan ati, sip ",9/29/19 9:44,anditalarasati_,Goblok,9/29/19 12:37
GuyonWaton,Oke maturnuwun ~,9/25/19 6:27,DikiSadita,"Kapan manggung suroboyo, dienteni arek arek lo koe",9/25/19 6:32
GuyonWaton,Beeeer temulawak....,9/23/19 8:17,ganasetyawan_,Sing dipiker tekune koyo luwaaakk,9/23/19 8:18
PutriYurinda,"Weton, cocok. Arah omah, cocok. Wong tua setuju. Keluarga liyane akon cepet. Waktu, wis digoleke. Tapi nek bocahe ra karep tekan kapan wae yo ming ngeneki terus.",9/19/19 7:32,Fishmen93,"Bantingen, hahaha",9/19/19 9:41
marchilll,"Semangat PTS ya,akuu",9/15/19 8:13,daniolok,"rasah dipikir, diawur wae brey",9/15/19 9:18
glossyuga,"* End nya setelah aku pts ya, tgl 20. * Pengumuman tgl 21, pengiriman tgl 22 & 23. * Nnti aku kirim pake j&t service dfod ya (yg ongkirnya bayar ke kurir pas anter paketnya ke rumah kamu). * Mutualan ayok, tapi aku gasuka di dm buat minta follback :)",9/13/19 8:18,glossyuga,"Siapapun nnti yg menang, tolong jaga mereka baik2 ya :)",9/13/19 9:43
kidefta,"""Kamu itu orang paling keras kepala dan paling sulit yang pernah aku kenal. Tapi jika aku harus mengulang hidupku, aku akan tetap memilih kamu."" Habibie-Ainun",9/11/19 4:55,SaviraaEka_,Makasihh ya rikk :),9/11/19 8:26
Poerhadi3,Yang lagi tahlilan awas hati2 jika ada rokok jarum di gelas tar di boikot dan di berhentikan....lucunya orang yang ngakunya pinter tapi blunder,9/9/19 10:06,ozzzty,"Yaallah , bisa kepikiran ",9/9/19 15:52
bayutrikora,ada yang tidak suka sama kamu. itu wajar. kamu tau balasan paling menyakitkan kepada orang yang tidak suka kamu ? tetap berbuat baik dan ramah kepadanya.,9/7/19 5:38,difa_asy,Hilih kinthil,9/7/19 23:00
MegaSeptiAriani,"Alhamdulillah ketemu tanggal 6 september lagi dihari jum'at yang berkah ini, makasih gusti ",9/5/19 10:08,Adhistyapipitt,Hepibesdetuyuu mbak meg,9/5/19 10:33
apaajalaya,Rindu rasanya jatuh cinta,9/3/19 5:19,apaajalaya,anjir apaan si ini :),9/3/19 5:19
jambualas__,"Hello sobat twitter, info loker freelance area jogja dong. Butuh bgt nih pliiiis.",9/1/19 7:23,xaxaxxx_,Di ig banyak parttimejogja gitu coba aja,9/1/19 7:39
abdi_gumilang,": dik, bisa dipotokan?: Iya ibu bisa, mau dimana fotonya?: Nanti motretnya pencet ini ya, yg tengah ini (hp android): Iya ibu.: Bisa kan motonya?: Iya ibu.: Lagi lagi yg bagus ya.: Iya ibu.Wong tuo due duit Yo iso dagel jebul, aku diwarai moto kok pie ",9/27/19 4:33,TonySuteja1,Pdhl wis pro yoa ,9/27/19 4:59
herustyaone,Semoga perjalanan hari ini berkah terlebih membawa bahagia untuk orang lain,9/29/19 9:15,Dalixoxoyo,,9/29/19 10:59
ayonaikbiscom,"Jok bus kalau bahan bludru masih baru sih enak, tp kalau dah lama dan perawatannya ga bagus siap2 gatel dibadan. Kalau jok pake bahan Mbtec itu kalau kelamaan duduk jadi panas di bokong, iya engga sih ? Btw suka model jok buatan mana ?",9/25/19 6:23,BisKota_,Alldila Beludru ,9/25/19 6:32
cuddlelici0us,"Semua kampus di jogja turun, kecuali mirota kampus.",9/23/19 8:02,TamaWahyudi,isi juga trun kah,9/23/19 8:18
ERBEA_,Ada yang mau shodaqoh gitu ga isiin pulsa buat paketin chat? :'),9/19/19 6:48,luthfi_sy,Demi 200k sebulan ya wkwk,9/19/19 9:41
MyDiolicious,Siapapun dia. Penyanyi silol yg cowo malam ini gans bgt. Badboy gantemg gimana gitoh!,9/15/19 7:47,dreamincode_,Mau liat wkwk,9/15/19 9:18
NenggPesekk_,"Mass. mbok di jawab 'dalem dek , pripun ? kangen po?' . ngono lo , lak adem ning ati ",9/13/19 6:45,rhenggaaa,ngopo to? ,9/13/19 9:43
JogjaUpdate,"Innalillahi Wa Innaillahi Roji'un, Presiden Ke-3 Republik Indonesia, BJ Habibie telah meninggal dunia pada pukul 18.03 WIB dalam usia 83tahun. Kami akan selalu mengingat jasamu untuk bangsa ini",9/11/19 4:27,IzzaBastama,,9/11/19 4:28
JogjaUpdate,sepi ing temlen rame ing dm ...,9/9/19 8:31,embeksehat,nek ati piye min,9/9/19 8:32
PeterPascaRilo,Malam minggu orang lain. Nongkrong. Nobar. Jalan-jalan. Ngopi. Jalan-jalan sama gebetan. Malam minggu aku. Maen hp. Cek sosmed. Gitu-gitu aja sampe bego,9/7/19 5:09,poetriekeong88,Gitu gitu aja sampe pagi,9/7/19 5:13
gilang_restuaji,Hati saya lebih sakit lihat indonesia kalah dikandang lawan malaysia. Tekan semene paham??,9/5/19 9:35,mutakim_alim,Mungkin dia meding gak ada suporter kalik. Biar bisa serius hahahahaha,9/5/19 12:47
baciltwit,Tetap menjadi pembeda walaupun tonggo teparo cangkeme njeplak tidak ada remnya!! Ndakpapa :),9/3/19 5:18,Yullsmith,"Ranggagas kiwo tengen, malang"" ditrabas",9/3/19 5:19
ariw_id,"Mumet tenan aku ra ngapusi, tenan iki",9/1/19 6:58,mauuuapa,"Ngapusi wae, aku seneng diapusi",9/1/19 7:39
GuyonWaton,"Ngadepi wong licik yo kudu picik, wes males dadi wong apik ",9/27/19 2:03,rarascl,Sesekali dadi wong jahat ben ra ditindas terus. Moso yo wong liyo ngepenake tapi dewek ga digawe kepenak. ,9/27/19 9:01
sigitpamungkasu,"Habis match tadi kasihan lihat anak kecil ndorong gerobak di ringroad utara, kakaknya ndorong, adeknya ditaruh digerobaknya :(( panjang umur dek.",9/29/19 9:00,gadislucu__,Ngga dibantuin?,9/29/19 10:59
Zagwakyutbeud1,Karna yang sudah terlepas tak akan lagi kupungut lekas,9/25/19 5:41,ftrrzna,Sik sekawli,9/25/19 6:32
GuyonWaton,Nek cewekmu ra wedi karo koe gawake timbangan badan wae ~,9/23/19 7:25,adityajuliannn,"Iyo min, ben dikepruk ndasku karo timbangane",9/23/19 7:27
NenggPesekk_,"Lu bawa satria , gua bawa ninja . Lu bawa cewem manja , gua bawa janda . Hiyahiyahiya ",9/19/19 6:05,NenggPesekk_,eh ternyta typo ,9/19/19 6:18
PungkasB,"""jika kalian tak mendukung saat kami kalah, jangan ikut bersorak saat kami menang"". -sir alex ferguson-",9/15/19 6:53,AdjiHard,"wah nek teman2 model e ngono, kawit jaman biyen psim raono suporter e mas. mungkin karena pada haus prestasi nunggu suwe, ndilalah wes berekspektasi tinggi jebul jauh dari yang di bayangkan.",9/15/19 9:18
kelvinrahmadan,"Berharap tidak terjadi apa"" dengan akun ini.",9/13/19 6:37,iamaditra,"tenang buoss nek ono opo"" gari mampir omahku ",9/13/19 9:43
NenggPesekk_,mbuh luweh mbuh luweh mbuh luweh mbuh luweh mbuh luweh mbuh luweh mbuh luweh mbuh mbuh mbuh luweh mbuh luweh mbuh mbuh mbuh mbuh. LAGI PENGEN DI SAYANG WOIII !! CUKJARAN !!,9/11/19 2:41,fakbriya,Sabar beb sabarrr,9/11/19 4:28
mbakmoy,TWITTER PLEASE DO YOUR MAGIC. AKU INGIN RUMAH WARISAN NENEKKU CEPAT TERJUAL AGAR TIDAK TERUS MENERUS MENJADI SENGKETA DAN SEMOGA AKU JUGA IKUT KEBAGIAN JATAHNYA,9/9/19 8:26,FtrElsa,wahaha sama nih lg ngarepin cepet terjual ,9/9/19 10:50
idnyandi,"""Aku seneng banget hari ini, akhirnya kita bisa jalan juga, terimakasih ya buat waktunya."" Aku sedang ngapalin naskah buat teater",9/7/19 4:49,glowdakr,loh yg kemaren kemana?,9/7/19 5:13
GuyonWaton,Mangan opo iki enake  ?,9/5/19 8:49,PrasetyoAndy_,Mangan ati :),9/5/19 8:50
paws37,Cewek Aktivis pasar kaya tara basro di gundala kira2 ada di pasar mana ya di jogja? ,9/3/19 4:37,timothytimmy,Pasar Malam~~~,9/3/19 5:19
MerdekaGembul,"Mat mottt Matt mottt. Wajah nanggung pentil cilik kok cangkeman, paling sing doyan Yo wong Peyox akut ...!!!",9/1/19 6:48,apr1liaa,,9/1/19 7:39
dedyriyadi,"3/Di luar jendela, gersang semata.Kau, kehijauan yang sungguh,menjelma tiba-tiba.4/Bukan sepi, mendesak sampaitepi. Di pinggiran kota ini, rindumenderu dengan suara bertalu.",9/27/19 0:34,arif_gumantia,"Puisiku ketika naik kereta Laju kereta. Kelok sungai yang mengalir di denyut nadimu. Tiang-tiang hitam yang menyimpan kenangan. Sepasang rel menjulur dari mimpi dan harapan.Garis pantai mengantar anak-anak rinduku menuju cakrawala.",9/27/19 9:01
i_realfai,Vibes twitter mulai kaya ig apaya? Atau netijen tolol mulai ekspansi? Semoga hanya perasaanku saja,9/29/19 7:27,bujangloncat,Buzzer tai byk sekali,9/29/19 10:59
DikkyNegara,"Anjenggg ,rame amat ,ngga ada yg mau kenthu dlu apa ? Sblum RUU di sah in ",9/25/19 5:35,adiprayogans,"Nyambi dodol opo ngono lho mas, mumpung rame ",9/25/19 6:32
wednesyuda,"Kalau di Jogja, silakan mampir ke gerai kecil kami di Jln. Bhayangkara No. 23. Atau bisa pesan jg di go food.",9/23/19 7:14,arifmuharram,Love dulu wkwk,9/23/19 7:16
cahyagitaap,"Ireng rapopo,nek putih ndak gampang reget .",9/19/19 6:01,grxgrx_,betol juga,9/19/19 6:18
gobeer_ahmad,uang dan bintang bukan jaminan..... ya tooo....,9/15/19 5:33,oulsantoso02,"Ada uang ada bintang,minimal Yo anker po balihai..Sing luwih merakyat ya sari salak",9/15/19 9:18
PeterPascaRilo,Kalo kangen biasanya kalian ngapain?,9/13/19 6:15,UtiItsme,Akumah kalo kangen cuma bisa diliat aja:( suka sedih daan hidupku mah:(,9/13/19 6:24
PenjahatGunung,Sekedar info. Grab bukaan lagi pendaftaran untuk cewek incentive berlian dan bukaan untuk cowo incentive berlian sabtu minggu saja. Mohon di infokan ke kerabat barang kali ada yg mau daftar. Matur suwun. sc : grup 112 bike,9/11/19 2:34,XyzxxfDPmahaOke,Wes fix mas?,9/11/19 4:28
Mileakawe,Enakan muncrat didalam,9/9/19 6:11,iyoiyoakusalah,,9/9/19 10:50
Cicunn,Ngertio masuk siang wae.  Jan jangkrik!!!,9/7/19 4:33,raenalzikrii,Cek hp,9/7/19 4:44
BMJZ_BGTP,Sudah-sudah€ Kita balas diDangdut Academy Asia!!!,9/5/19 8:25,bajubarat_,"Dari sekian banyaknya tweet yang membahas bal-balan Indonesia, aku setujune karo iki",9/5/19 8:50
Maritim_YK,"Berita Kehilangan: Telah hilang sebuah Hp Asus Zenfone Max 1 dari anggota kami, tkp kehilangan di dlm stadion brawijaya pasca terjadi kerusuhan, barang kali temenë_ brajamusti/psim fans yg menemukan/menyimpan hp tsb, bisa dm ke kita Terimakasih",9/3/19 4:31,Maritim_YK,"Posisi megang hp terakhir di tribun tertutup vip utara stadion brawijaya, kondisi hp di Kode pin",9/3/19 5:19
muh_khoirudin_,Pie chart itu kan utk menyajikan data proporsional & prosentase antar kategori. Yg full circlenya adlh representasi dr total data 100%. Pendapatan per kapita antar daerah tertentu bkn representasi data 100%. Mk lbh pas pake bar chart. Kcuali utk mnyajikan data scr nasional. cmiiw,9/1/19 6:44,bitieslopers,"Om, kenapa pendapatan per kapita antar daerah bukan representasi data 100%? Masih bingung saya",9/1/19 7:39
IDberry,RUU : Ra Uwis Uwis,9/26/19 22:27,mrbambang,Ra udud udud kalau gitu caranya,9/27/19 9:01
ketanitem001,Ga bisa masak bukan tolak ukur untuk menjadi istri yang baik,9/29/19 7:24,kesayanganoppaa,idaman masnya ,9/29/19 10:59
BukanTahalea,"Jogja, Vespa, Kamu=Istimewa",9/25/19 5:25,iqbalsyaputro,"Jogja, Cb100, kamu = Mesra sekali",9/25/19 6:32
arnoldneverstar,"HEH YO OJO NGENE LAH MOSOK MUNG 5 RIBU PENONTON,OJO DIBALENI YO,MAU PEMAINE JELAS JALUK SUPPORT E AWAK DEWE,AYO JARE DEMI PSIM APAPUN KULAKUKAN",9/23/19 6:59,fauzanoddie,"MKYK akan penuh jika para pemainya main dengan penuh hati juga. Misal pun kalah asal permainan bagus, menghibur dan ora loyo mesti MKYK kebak. Karena kita juga mendukung sepenuh hati juga",9/23/19 7:16
JogjaUpdate,donendiki,9/19/19 5:53,JogjaUpdate,nduwe ide madang nendi?,9/19/19 6:29
PungkasB,Bangga liga dua ,9/15/19 4:30,Rohmatwibowo191,Aku tak melu ngtwit yo mas pungkas hahaha,9/15/19 9:18
EdwinGusmanW,Mending gojekan dari pada serius tapi sakiti -Kartonyono 27 th,9/13/19 6:14,_teyos,"km gojekan terus, poin terus. kulihat di temlen wa",9/13/19 6:24
GitaCahhyani,"Kaka ku main tiktok, plis jangan sampe di reaction picky picks:((((((( Mbak ninaaaaa kenapasih??!!!!",9/11/19 2:21,mkhadaffii,Hahahahahah cringe,9/11/19 4:28
Evinola_Windy,"semakin tua semester, semakin terasa pertemanannya :)",9/9/19 5:42,Evinola_Windy,"terlihat mana yang menganggap kawan, mana yang menganggap lawan",9/9/19 8:58
sekarfern,Terimakasih semua atas doanya dan yang mau nyari simbahnya. Mari kita bergandeng tangan pecinta bubur sumsum ,9/7/19 3:28,sekarfern,Yang aku maksud ini kak. tinggal berdua dg adiknya dan juga jualan.,9/7/19 4:44
auliaaayz,Gak setuju sama kataë_nya. Kenapa? Karena gak semua cewe kek gitu dan gak semua cowo kek gitu juga. Tergantung cara kita nya yang nyikapin dia kek mana.,9/5/19 8:10,Milleniial,Iya iya paham ,9/5/19 8:11
SouthSquad_1929,"Karena Sejatinya Membantu saat terkena masalah, sangat lebih berharga ketimbang merayakan saat juara€ Matur sembah nuwun Aremania, The Jak, Semarang, Magelang€Kami tidak akan pernah melupakan itu semua..",9/3/19 3:32,sulaiman011194,Disini theJak disana Bm. Dimana mana kita sodara .,9/3/19 5:19
yogi_ogx10,Kisah usang tikus tikus kantor ,9/1/19 6:35,WCLASSxPSS_1976,,9/1/19 7:39
akubiila,h-berapa jam nii xixixi,9/26/19 22:15,akubiila,hesteg sawojajarmemanggil,9/26/19 22:15
wafirrotullaela,Tapi mereka sangat berjasa memasok bukuë_ kuliahku yang duitnya pasë_an ,9/29/19 7:12,WatiJulianti99,Iya benar tp kdg sama dosennya diceletukin pembajakan itu kw lah abisnya buku orinya mahal:( ini aja yg bajakana kaya fotokopian intinya mah fotocopy bersampul cover buku aja,9/29/19 20:07
premankelaran,Iki tentang RUU DPR dudu JOKOWI. Ora ono urusane karo PRABOWOmu !!!,9/25/19 4:34,badUdin_,Untung aku GOLPUT,9/25/19 19:22
whatisrewina,"Berkaca dr siapa aja penggede yg ada di daerah lahirku, aku baru ngerti brgkali org kaya mau jd politisi bkn krn mereka udah kelar sama urusan duit dan perut. Tp buat membuka jalan melindungi dan melanggengkan kekayaannya. Apa itu wejangan ""Jadilah mapan dahulu baru jd pejabat""?",9/23/19 5:20,wisnupbw,Tapitapitapi menungso ketika mempunyai kekayaan pasti maumaumaumaumaumaumaumau lagi,9/23/19 7:16
cuddlelici0us,"""mbak kalo pake baju jangan yg ketat2"" Ya terserah gue bangsat, gue yg pake lu yg bacot asuw.",9/19/19 5:33,Fadil_1996,Tampil aja kak biar sadar!,9/19/19 6:29
notmy_bae,"Air. Bumi. Api. Udara. Jaman dahulu semua negara hidup dalam perdamaian. Kemudian, semua berubah saat negara api menyerang. Hanya Avatar ketua dari keempat elemen yang dapat menghentikannya",9/15/19 3:43,santaibetul,Terdengar,9/15/19 7:20
cahyagitaap,"Dia baik,jd aku takut untuk menyakitinya",9/13/19 5:38,bagasfallah1,qontloo kak:),9/13/19 10:37
hari_ani,"Dulu bantu emak jualan baju boneka, kacang dll di MtS, Lulus kul ipk mentok pns, keterima.. Now sbg kabag managing 3 sub bagian, dgn motto jika kalian tak bs kerja, aku yg kerja, kalo sama ga bs kita cari solusi sama2, gali info ke yg bs ",9/11/19 2:10,sipa_brothers,Awesome,9/11/19 22:01
skrtsskrtss,Jebul sabar ki abot,9/9/19 4:53,Yunusdrjt_,"Mayan wil, ra patio abot kok",9/9/19 8:58
kikiiikyu,Temenku lari ke warmindo akhirnya saking ga kuatnya.. Udah mau pingsan katanya... Nunggu 2 jam...,9/7/19 3:12,NadyaVisii,"Apakah gacoan kurang karyawan, jadi pengen nglamar kerja aja ",9/7/19 4:44
bebebkumamabeth,"Ternyata, banyak hal yang terlewat ketika saya terlalu sibuk melihat layar ponsel. Awan bergerak€ Usia bertambah...Teman bertambah€. Bahkan, Teman berkurang.... Yang terkasih menua€ Cuci hati sebelum tidur ya teman€Have a nice dreams",9/5/19 7:57,NgkongRoses,Have a sweet dreams..,9/5/19 8:11
hallokaaaaaaa,Ketika doi menerima pesan WhatsApp darimu. ReadArsipDeleteBlokir.  Kamu jelek makanya doi ga mau sama kamu,9/3/19 2:44,junarr_,Udah gak gitu lagi kok suwerr.. ,9/3/19 5:19
dikasetyan_,ngeringeri reply an e gon ayuk ,9/1/19 4:23,GCangkem,Diandani koncomu kui,9/1/19 7:39
NenggPesekk_,"Sekarang kalau pengen kaya gk usah capek capek kerja , tinggal rebahan aja sambil nungguin ayam tetangga maen"" ke halaman rmh kita . mayan kan satu ekor 10jt , klau sehari ada 5ekor 50juta . seminggu udah dapet berapa tuh  mingir"" orang kaya mo lewat ",9/26/19 21:46,okijogjezz,S.7,9/27/19 6:02
ardliyannrr,Balbalan remokk atine yo remokkk bajingokkk,9/29/19 7:05,Albanna_01,kopiin,9/29/19 20:07
kapodotte,"Baru kali ini liat video2 polisi digebukin.. Dan aku senang :) Sambil bersuara : ""Pukul, habisin, hajar!""",9/25/19 3:57,aliarcat,HAHAHA SAMAAAA!!!,9/25/19 3:59
tey_saja,"Orang berkontribusi utk bangsa dan negara dgn cara, kemampuan, dan keadaan masing2. Ada yg demo di jalan, ada yg menyampaikan pendapat di media sosial, ada yg bekerja keras, ada yg menyelipkan harapan bagi bangsa dan negara dlm doanya. Bebas aja. Sesuai kemampuan aja. ",9/23/19 4:52,tey_saja,Kalau kita belum mampu berbuat apa-apa yaaaaa minimal jangan sebar hoax aja deh ya. Sementara gitu aja. Hehehe ,9/23/19 4:52
XyzxxfDPmahaOke,Tak ewangi ngalor ngidul. menyang esuk bali bengi. Kabeh kui nggo sopo ngerti ora?!! Yo nggo aku lah. Edan po nggo koe. Hmm :),9/19/19 4:52,annascahyow1,SAMBAT TERUS,9/19/19 6:29
dipantara_adit,Rakyat lebih kecewa sama Jokowi,9/15/19 3:06,Anti_Kacung,"Jokowi itu merakyat, orangnya baik. Sayangnya banyak yg dikecewakan (termasuk kampretes), kecuali yg merasa dirinya cebong.",9/15/19 10:59
Dudagentho,"NGOPI NENG PASEBAN DIMATKE GONDES KLAMBI KAGOL ASMORO FONT DEATHMETALAN ANGGO KUPLUK MALING RO PECICILAN,TAK WALIK WUDELMU PINDAH MOTO KAPOK KOE LE,HAKENE SEKO JAMAN KOE ISEH AMOEBA KENE WES NGGENDERO JE BUOSS",9/13/19 5:26,iswhyyy,Mugakno karo ngepil ben kajen bwoossss,9/13/19 5:35
JogjaUpdate,sudah terjadi kesepakatan utk diselesaikan secara kekeluargaan antara pelaku dan sekolah atas kejadian yang terjadi 6 Sept 2019 di salah satu SMP di Gunungkidul yang dituangkan dalam surat pernyataan dan ditandatangani pada 11 Sept 2019 oleh wakil pelaku dan kepala sekolah,9/11/19 1:59,yudhistirabp_,"HAH? WAKIL PELAKU? terus PELAKUNYA MANA?! Kasian karena anak kecil? Gua yakin dia bangga cerita ke temen temen tongkrongannya ""Gua lg main game disita hp gua sama guru anjing, emang gua takut! Gua kesekolah bawa clurit pada takut tuh dibalikin lagi hp gua haha!""",9/11/19 22:01
idnyandi,"Dulu, aku pernah nembak cewek ditanggal tanggal cantik. Biar kelihatan spesial hari jadiannya, waktu nembak ceweknya minta waktu buat mikir. Dia bilang ""Kasih waktu aku buat jawab, paling nggak 100 tahun"". Baru lewat 5 tahun, dianya udah  nikah duluan.",9/9/19 4:53,Dandelion2108,"Udah pernah juga dong. 070717 nglekat banget dan yaa ujung""nya sama aja ^_^",9/9/19 8:58
yusufAp__,"Pss dan semua omong kosong ini, bagiku rumah kedua yang sempurna",9/6/19 22:31,dwikialviandro,Iya iya sup rumah kedua adalah kos,9/7/19 4:44
pranasaribali,"Gni coba dbaca ya... kalo mau nawarin dri jd partner.. yah nanya sopan, sisipin fto xan.. okay ? See you ... ",9/5/19 7:48,Pasu3Petualang,swtuju,9/5/19 14:21
Gendhute_MeyMey,"Tosdon jogjakarta.... Nuwun kediri, saya tidak akan lupa",9/2/19 23:15,NganjukBoys,Klo sama saya lupa ga mas?,9/3/19 2:46
danangcatur,"Aneh orang indonesia itu, sudah tau ras mongoloid banyak miripnya dengan orang cina, kok malah benci sama china....lahirnya di tanah subur gemah ripah loh jinawi pengennya lahir di gurun pasir.... hadeeh....",9/1/19 3:14,AntonellyCr,Betu... betu ..  betu,9/1/19 20:19
cil_cillaa,Pada akhirnya kamu akan bahagia entah itu bersama siapa ,9/26/19 20:36,indraajati,iya kak,9/26/19 20:38
JogjaUpdate,": kamu percaya sama magic? : enggak € : kamu percaya sama tuhan? : ya percayalah € : lha, trus ngapain kalo masak nasi pake magicom ? : ramashook mbak ... ramashook €",9/29/19 6:49,moonsighs_,mungkin guyonanku ke suamiku besok gini,9/29/19 6:52
NenggPesekk_,Ya allah untung aku ra modiar ,9/25/19 3:40,HayIndahhh,Gws. Mas rengga biar cemburu,9/25/19 3:59
GuyonWaton,"Ak ra nglarang wong do demo, silahkan saja sampaikan aspirasimu, sek penting damai aman sejahtera ~",9/22/19 22:24,yuliantoakhid,"sek demo yo demo, sek kerjo yo kerjo, sek neng kosan yo ....wes:))",9/22/19 22:36
dihanputraaa,Butuh penyemangat hidup yang sesungguhnya,9/19/19 4:18,Ircham_RMD,Semangat,9/19/19 6:29
belummandipagi,"In my opinion, prestasi bisa berbentuk apa aja. Ga harus dgn IPK tinggi atau dg menang lomba sana sini. Mampu mengendalikan emosi, menyelesaikan sebuah persoalan rumit, melewati dan menerima ujian Tuhan dgn sabar, itu jg prestasi.",9/15/19 1:18,belummandipagi,I should treat my self tomorrow on the grounds I can control my anger today. Eating some good foods will be a great thing to do.,9/15/19 1:18
bebebkumamabeth,Nyicil gambar e seek saikimu,9/13/19 4:59,AnnaElyana153,Hu um.. Minta brosur sama mbak2 SPG ne sik.. ,9/13/19 5:35
idnyandi,"Bila kita akhirnya tidak bisa serumah, setidaknya kita pernah sekamar.",9/11/19 1:48,n_hasna_f,Haha fck!,9/11/19 22:01
